stock,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,0.03741829274141373,-0.00017956124328378733,5.589262129289914e-06,7.392011526078717e-07,5.01604305665596e-07,-1.2727631621605393e-06,2.419946251416159e-06,-1.8701851902566685e-06,1.803397250309247e-06,1.3056211168046785e-06,-5.629128145066957e-07,-2.3677086250273334e-06
AMGN,0.04144348740581705,-0.005056430964574957,-2.792557500967273e-05,7.644305424768142e-07,1.0145376048505172e-06,3.122507983527384e-05,-7.374206585547867e-06,-4.791454766298411e-06,1.1185461300277757e-05,-4.774417269556909e-06,3.30432396099641e-05,-1.6363569287657988e-06
GILD,0.04147969490769421,-0.0030326040070984043,8.864635782666328e-06,1.534187714929261e-05,-7.4302023966844656e-06,-1.861760741777603e-05,2.0281398696334013e-06,-2.100240638369481e-05,-8.832843113866887e-06,-2.3092999033041536e-07,2.143395118977575e-06,4.857197249615895e-06
JPM,0.11825014370838982,-0.00012905937128024887,1.182474522127421e-06,-3.9451885805975e-06,-7.994851702780298e-06,6.128831979038357e-05,1.1898124944931816e-06,5.937608458791443e-10,2.4900212701422513e-06,1.573335274709477e-06,2.7997735813637596e-05,3.5974124163754925e-06
MSFT,0.032877322460702296,0.002048711176205353,1.1027289405674152e-05,1.047501711986157e-09,3.1834448993613165e-06,-1.2245609961755006e-05,-1.0765613384036383e-05,-1.3867455304205239e-06,-2.6252705720760505e-06,9.759846911351036e-07,5.515741193923586e-06,1.5208583673119942e-06
NVDA,0.11519903642878626,0.00504595592196802,1.650345657515971e-05,-1.5328200103872274e-06,6.793923332633192e-07,-2.966658495872616e-06,-3.2132512655748067e-06,3.290766484459231e-05,-5.060717441904676e-06,-3.147689415398349e-06,2.404222395255183e-06,4.454307466609644e-06
PEP,0.04817426118101842,-1.4006886045437129e-05,2.959150194403089e-09,-6.174892076763884e-07,4.539185004268736e-07,-5.765734315781031e-07,-1.0605607939457426e-07,-9.796683194190256e-08,-7.121909464068454e-07,6.02929564170382e-08,2.95862666608947e-08,-1.937571515895658e-07
TSLA,0.014598652552919922,0.0007528935833280681,-2.6743244161951268e-06,1.7985893709062581e-06,2.4800457341441977e-06,-3.858113881893572e-06,-4.198908293467864e-07,-8.32830048836143e-07,-1.256984190321987e-06,-2.4296438834217848e-06,1.4639105986305254e-06,-7.202215990927515e-07
V,0.2749067175295301,-3.153219129860047e-05,-7.748516734352085e-07,4.506281340021037e-06,-1.602667404985153e-06,3.895906030942402e-06,7.368040568602744e-08,-4.9452286290557755e-08,-1.7436129639614864e-06,-2.2955901166003445e-07,2.5282834275415196e-05,-3.00483930485697e-07
XOM,0.08517120621476326,-2.4346625980260225e-05,-1.0249778500782799e-06,2.5322307443442797e-07,6.414383253722418e-07,-9.834305743602443e-07,5.458944371805427e-08,9.315651919093853e-08,-1.7087201978191579e-06,-4.8478273756402265e-08,6.8825606704629355e-09,2.5257912798853703e-06
