stock,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM,avg_r2
AAPL,-6.018499846282694e-07,-3.539926428193139e-07,-9.215455670217063e-07,5.424200421188546e-07,-3.060632645708379e-07,5.023633222648949e-07,-1.2327692663207692e-06,3.278254521323874e-07,5.39907962269474e-07,2.223079759419638e-07,0.01402162456022713
AMGN,8.876875733651578e-07,3.841106877734467e-07,-2.1619086137840136e-07,1.085837195390324e-05,-1.9478416631365733e-06,-3.4889057399547553e-07,1.9421584134877542e-06,-3.5370477877892474e-07,5.768527329356103e-06,-2.336290337518829e-06,0.05365540347303144
GILD,1.1373481106783757e-06,1.7267937076086936e-06,1.2623478823531228e-06,-2.558318104532266e-06,3.607443403659964e-07,-2.2137155755089863e-06,-6.196130170215094e-07,-4.5635039007035185e-08,-2.6383588762056225e-07,1.149378324855942e-06,0.11279371718929676
JPM,3.3752582529721315e-06,2.0444182397414813e-06,-1.4766424359677962e-06,1.6111389420328844e-05,-7.107938160700162e-07,6.051427556591734e-07,9.345611654788192e-08,4.257789472885002e-07,3.0870856739503325e-06,-1.3565743216992356e-06,0.08273405306644313
MSFT,2.5534783603124637e-06,-2.031341248301442e-06,4.97762695143587e-07,-6.333046058447223e-07,-9.149367540003728e-07,1.0827635034991657e-06,-2.525942583100288e-07,-2.1155404344424068e-07,2.035873567559354e-07,6.155742665137745e-08,0.017642641863753812
NVDA,2.73419377432155e-06,-1.1701548447395366e-06,-1.4534552358429239e-06,-2.151532983466795e-06,5.40912471350554e-07,1.948228424082551e-06,-2.2737558865817774e-07,3.6296510559518777e-07,-2.0242941781167238e-06,-2.3415660792495897e-06,0.057740417746907746
PEP,-1.7655754517737717e-06,-1.813983452144434e-06,6.30305503728222e-08,4.0052751989592223e-08,-4.527630822811823e-07,-5.876850535109608e-07,3.2986655589081515e-06,1.5230853177272596e-08,-1.9566735184468117e-06,-4.414525202611803e-07,0.04738963363103744
TSLA,-1.53700557645954e-06,2.2642464126356853e-07,4.900094506162947e-07,8.034109402192593e-07,3.6472657140235395e-07,-1.6202107560958666e-07,-2.1180647588254793e-06,-2.693265615611065e-07,4.476637774049634e-08,-3.024536803314e-07,0.01226604458733134
V,1.8392341269788457e-06,3.717772000784185e-07,1.7520478476916468e-06,-4.868345932158557e-07,2.0535691511059814e-07,2.497472452918745e-06,-1.2659857782830239e-06,3.711642889227888e-08,2.829397160539411e-06,3.275571632346745e-08,0.17288979725901746
XOM,1.1430491163828983e-06,2.5135684310927335e-06,5.6998472387806515e-06,-8.602241321558243e-06,-6.279906710192112e-07,-2.819511948456776e-07,1.3744956208309668e-06,9.263414479604202e-07,4.831823696240274e-06,-3.2599281574844824e-06,0.08525892215116024
