stock,horizon,r2,intercept,coef_AAPL,coef_AMGN,coef_GILD,coef_JPM,coef_MSFT,coef_NVDA,coef_PEP,coef_TSLA,coef_V,coef_XOM
AAPL,1,0.011603910290036046,-0.00166258709498272,-3.3739209098726e-07,-1.5535979403915041e-06,-3.9668779259583847e-07,-3.616923779452445e-07,6.2432279581156e-08,2.8170455079726397e-07,-7.132264812814133e-06,3.9540049361191156e-06,9.574964762880158e-07,4.133202327012126e-06
AMGN,1,0.04042623355990249,0.0024451763955355044,4.428346466719315e-06,4.387623831971331e-06,1.4765854187668933e-05,-2.251268890056728e-06,6.272556824916565e-06,-1.1592826419206356e-05,-2.4643104423129422e-05,-6.633037186119603e-07,-4.4561286249862256e-05,1.4606790170058805e-05
GILD,1,0.207067719249028,1.2811736531328475e-05,8.271279027775413e-08,-1.0020901381983081e-06,-9.603789346401923e-06,-2.0005165465978615e-06,2.9956644410556306e-07,4.946783015211028e-08,-3.4593684371437216e-06,3.822687159091313e-09,3.296182553558722e-06,5.5419781352244424e-08
JPM,1,0.021829768645430292,-0.0034735279164295812,-1.510281901055256e-07,-2.7742470469725965e-07,2.5907933217969158e-06,5.296364402762493e-06,4.015268094071065e-07,5.463739956529466e-06,-1.0926408979678565e-05,-1.7923245219141598e-06,-1.4924065598330356e-06,-1.0776527068525908e-06
MSFT,1,0.016604527433092375,-0.0008165994923569431,-2.491242376425361e-07,1.6142477493598815e-06,-3.853660044685835e-06,-7.179914807196338e-06,1.3303824529938342e-06,-1.1102993620285091e-05,-4.67187172671132e-06,1.940213921994995e-06,-1.653042693618227e-05,-9.042169569844096e-07
NVDA,1,0.003144069202419497,0.004058716333675261,-7.598341833831471e-07,1.5892256583987959e-06,-2.1659224051331868e-07,-3.092110741695977e-06,2.3377122045559927e-06,3.5167151300517043e-06,1.1181348268183124e-05,-1.4190092444863491e-06,-4.067680280466851e-06,-2.582795579981415e-06
PEP,1,0.011439880267599567,-0.00011273734624077897,2.1413106062730623e-07,-2.336340130633657e-07,-1.6253808854392393e-06,-4.376619785929443e-06,2.4705715508511807e-07,5.572193927414165e-07,5.9777440398928775e-06,-8.603503472913955e-08,-2.318774040529525e-06,-8.109550619807614e-07
TSLA,1,0.017755848244642936,-0.00260071709170615,8.280068251642232e-07,5.68640901314962e-07,-9.223819355269856e-07,6.373541413375879e-06,-1.789347724764447e-06,1.1111405595851372e-05,-4.254075795505943e-06,1.4532906289481393e-06,3.029352667647722e-06,2.65120997709212e-06
V,1,0.060031657564901475,-0.0009245218743171767,4.250398667291412e-07,-8.790537229779938e-06,5.663723438779602e-06,-8.105345277846553e-06,-2.174340289651644e-09,3.962761576519818e-06,-1.7129791125561178e-08,-6.710343444500261e-07,2.206838448642861e-05,-1.3243523397121836e-07
XOM,1,0.07232680317344897,4.215628598505925e-05,1.1765585256555478e-08,1.6260541939665634e-06,6.588503490970955e-07,7.534152054229723e-07,2.7885507355951097e-07,-1.794811582087757e-07,-3.935453497571442e-06,-1.95722182480463e-08,6.028442141306085e-07,6.544338558980706e-06
AAPL,5,0.00544895417321456,0.0030229697623214693,1.78600174865038e-07,-8.671301882308397e-07,2.2766933769333785e-06,3.617687397997471e-06,-1.204203998625863e-06,-5.24083571273566e-06,-2.045205733629828e-06,1.940264437579878e-06,1.0797045185854146e-05,3.0937485642635193e-06
AMGN,5,0.024598751718575063,0.002962672434018597,3.524428490925193e-06,1.850723181423669e-05,2.981154397588699e-06,-9.914930791821943e-06,7.440376892824912e-07,-8.349300892052157e-06,-3.646066349288441e-05,6.401093309045852e-07,3.2338616859862447e-05,2.163411223081655e-06
GILD,5,0.011808220757762,0.0016773405978472754,1.304202430308848e-07,-2.0736879347728327e-07,-1.0053905534757648e-05,5.603156921209629e-07,8.075574621649984e-08,1.0433002062762347e-06,3.615960000989454e-07,1.09746180818916e-07,2.5838000974320914e-06,4.6637838616156036e-07
JPM,5,0.059146392070183684,0.00042279551164981204,3.763261938962335e-07,2.551459139832615e-06,5.205790678664748e-06,1.187884145530245e-06,8.169737693831327e-07,-1.6525618225706666e-05,-1.884807411511627e-05,-7.492295002361225e-08,6.1737619607601716e-06,1.8546485085437677e-05
MSFT,5,0.004926639028646096,0.004259866799491075,-2.44871102672477e-06,-2.374967038801439e-06,2.734177616562121e-06,5.548617816812617e-06,-3.144900134005183e-06,-2.051287891056839e-06,5.734654236628174e-06,-4.729766970957088e-07,2.6029717851950487e-05,1.3679702865081658e-06
